
1	지수함수의 정의는 무엇입니까?	
指数関数の定義は何ですか？ 指数関数は一般的に f(x) = a^x という形で表されます。	
"a) y = x^a
b) y = a^x
10	삼각함수 sin의 값이 최대가 되는 각도는 무엇입니까?	三角関数sinの値が最大になる角度は何ですか？ sin関数は角度が90度のとき最大値を持ちます。	"a) 0도
b) 45도
c) 90도
d) 180도"	"a) 0度
b) 45度
c) 90度
d) 180度"
11	지수함수의 정의는 무엇입니까?	指数関数の定義は何ですか？ 指数関数は一般的に f(x) = a^x という形で表されます。	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"
12	로그 함수가 유용한 이유 중 하나는 무엇입니까?	対数関数が有用な理由の1つは何ですか？ 対数関数は複雑な計算を単純化できる特性を持っています。	"a) 곱셈을 덧셈으로 변환
b) 덧셈을 곱셈으로 변환
c) 곱셈을 나눗셈으로 변환
d) 나눗셈을 곱셈으로 변환"	"a) 掛け算を足し算に変換
b) 足し算を掛け算に変換
c) 掛け算を割り算に変換
d) 割り算を掛け算に変換"
13	자연로그의 밑은 무엇입니까?	自然対数の底は何ですか？ 自然対数はeを底とする対数です。	"a) 2
b) 10
c) e
d) π"	"a) 2
b) 10
c) e
d) π"
14	삼각함수에서 각도의 단위는 무엇입니까?	三角関数において角度の単位は何ですか？ 角度の単位には通常、度（degree）とラジアン（radian）が使用されます。	"a) 도 (degree)
b) 라디안 (radian)
c) 두 가지 모두
d) 둘 다 아님"	"a) 度 (degree)
b) ラジアン (radian)
c) 両方
d) どちらでもない"
15	삼각함수 sin, cos, tan의 정의는 무엇입니까?	三角関数のsin, cos, tanの定義は何ですか？ 三角形において、sin, cos, tanは角度の比率として定義されます。	"a) sin = 높이 / 빗변, cos = 밑변 / 빗변, tan = 높이 / 밑변
b) sin = 밑변 / 높이, cos = 빗변 / 높이, tan = 빗변 / 밑변
c) sin = 빗변 / 높이, cos = 높이 / 밑변, tan = 밑변 / 높이
d) sin = 높이 / 밑변, cos = 밑변 / 높이, tan = 높이 / 빗변"	"a) sin = 高さ / 斜辺, cos = 底辺 / 斜辺, tan = 高さ / 底辺
b) sin = 底辺 / 高さ, cos = 斜辺 / 高さ, tan = 斜辺 / 底辺
c) sin = 斜辺 / 高さ, cos = 高さ / 底辺, tan = 底辺 / 高さ
d) sin = 高さ / 底辺, cos = 底辺 / 高さ, tan = 高さ / 斜辺"
16	지수 함수가 적용되는 실생활 예는 무엇입니까?	指数関数が適用される実生活の例は何ですか？ 人口増加や金融計算などに指数関数が適用されます。	"a) 물리적 이동 계산
b) 열전달 계산
c) 신호 처리
d) 데이터 분석"	"a) 物理的移動計算
b) 熱伝達計算
c) 信号処理
d) データ分析"
17	로그 함수의 특징 중 하나는 무엇입니까?	対数関数の特徴の1つは何ですか？ 対数関数は大きな数を小さくすることができます。	"a) 수를 확대함
b) 수를 줄임
c) 수를 곱함
d) 수를 나눔"	"a) 数を拡大
b) 数を縮小
c) 数を掛ける
d) 数を割る"
18	삼각 함수의 주기는 무엇입니까?	三角関数の周期は何ですか？ 三角関数は一定の周期を持っています。	"a) 180도
b) 90도
c) 360도
d) 45도"	"a) 180度
b) 90度
c) 360度
d) 45度"
19	로그함수의 활용 예로 적합한 것은 무엇입니까?	対数関数の活用例として適切なのは何ですか？ 対数関数はデータ分析で主に使用されます。	"a) 온도 측정
b) 소리 측정
c) 데이터 분석
d) 교통량 분석"	"a) 温度測定
b) 音の測定
c) データ分析
d) 交通量分析"
20	삼각함수 sin의 값이 최대가 되는 각도는 무엇입니까?	三角関数sinの値が最大になる角度は何ですか？ sin関数は角度が90度のとき最大値を持ちます。	"a) 0도
b) 45도
c) 90도
d) 180도"	"a) 0度
b) 45度
c) 90度
d) 180度"
21	지수함수의 정의는 무엇입니까?	指数関数の定義は何ですか？ 指数関数は一般的に f(x) = a^x という形で表されます。	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"
22	로그 함수가 유용한 이유 중 하나는 무엇입니까?	対数関数が有用な理由の1つは何ですか？ 対数関数は複雑な計算を単純化できる特性を持っています。	"a) 곱셈을 덧셈으로 변환
b) 덧셈을 곱셈으로 변환
c) 곱셈을 나눗셈으로 변환
d) 나눗셈을 곱셈으로 변환"	"a) 掛け算を足し算に変換
b) 足し算を掛け算に変換
c) 掛け算を割り算に変換
d) 割り算を掛け算に変換"
23	자연로그의 밑은 무엇입니까?	自然対数の底は何ですか？ 自然対数はeを底とする対数です。	"a) 2
b) 10
c) e
d) π"	"a) 2
b) 10
c) e
d) π"
24	삼각함수에서 각도의 단위는 무엇입니까?	三角関数において角度の単位は何ですか？ 角度の単位には通常、度（degree）とラジアン（radian）が使用されます。	"a) 도 (degree)
b) 라디안 (radian)
c) 두 가지 모두
d) 둘 다 아님"	"a) 度 (degree)
b) ラジアン (radian)
c) 両方
d) どちらでもない"
25	삼각함수 sin, cos, tan의 정의는 무엇입니까?	三角関数のsin, cos, tanの定義は何ですか？ 三角形において、sin, cos, tanは角度の比率として定義されます。	"a) sin = 높이 / 빗변, cos = 밑변 / 빗변, tan = 높이 / 밑변
b) sin = 밑변 / 높이, cos = 빗변 / 높이, tan = 빗변 / 밑변
c) sin = 빗변 / 높이, cos = 높이 / 밑변, tan = 밑변 / 높이
d) sin = 높이 / 밑변, cos = 밑변 / 높이, tan = 높이 / 빗변"	"a) sin = 高さ / 斜辺, cos = 底辺 / 斜辺, tan = 高さ / 底辺
b) sin = 底辺 / 高さ, cos = 斜辺 / 高さ, tan = 斜辺 / 底辺
c) sin = 斜辺 / 高さ, cos = 高さ / 底辺, tan = 底辺 / 高さ
d) sin = 高さ / 底辺, cos = 底辺 / 高さ, tan = 高さ / 斜辺"
26	지수 함수가 적용되는 실생활 예는 무엇입니까?	指数関数が適用される実生活の例は何ですか？ 人口増加や金融計算などに指数関数が適用されます。	"a) 물리적 이동 계산
b) 열전달 계산
c) 신호 처리
d) 데이터 분석"	"a) 物理的移動計算
b) 熱伝達計算
c) 信号処理
d) データ分析"
27	로그 함수의 특징 중 하나는 무엇입니까?	対数関数の特徴の1つは何ですか？ 対数関数は大きな数を小さくすることができます。	"a) 수를 확대함
b) 수를 줄임
c) 수를 곱함
d) 수를 나눔"	"a) 数を拡大
b) 数を縮小
c) 数を掛ける
d) 数を割る"
28	삼각 함수의 주기는 무엇입니까?	三角関数の周期は何ですか？ 三角関数は一定の周期を持っています。	"a) 180도
b) 90도
c) 360도
d) 45도"	"a) 180度
b) 90度
c) 360度
d) 45度"
29	로그함수의 활용 예로 적합한 것은 무엇입니까?	対数関数の活用例として適切なのは何ですか？ 対数関数はデータ分析で主に使用されます。	"a) 온도 측정
b) 소리 측정
c) 데이터 분석
d) 교통량 분석"	"a) 温度測定
b) 音の測定
c) データ分析
d) 交通量分析"
30	삼각함수 sin의 값이 최대가 되는 각도는 무엇입니까?	三角関数sinの値が最大になる角度は何ですか？ sin関数は角度が90度のとき最大値を持ちます。	"a) 0도
b) 45도
c) 90도
d) 180도"	"a) 0度
b) 45度
c) 90度
d) 180度"
31	지수함수의 정의는 무엇입니까?	指数関数の定義は何ですか？ 指数関数は一般的に f(x) = a^x という形で表されます。	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"
32	로그 함수가 유용한 이유 중 하나는 무엇입니까?	対数関数が有用な理由の1つは何ですか？ 対数関数は複雑な計算を単純化できる特性を持っています。	"a) 곱셈을 덧셈으로 변환
b) 덧셈을 곱셈으로 변환
c) 곱셈을 나눗셈으로 변환
d) 나눗셈을 곱셈으로 변환"	"a) 掛け算を足し算に変換
b) 足し算を掛け算に変換
c) 掛け算を割り算に変換
d) 割り算を掛け算に変換"
33	자연로그의 밑은 무엇입니까?	自然対数の底は何ですか？ 自然対数はeを底とする対数です。	"a) 2
b) 10
c) e
d) π"	"a) 2
b) 10
c) e
d) π"
34	삼각함수에서 각도의 단위는 무엇입니까?	三角関数において角度の単位は何ですか？ 角度の単位には通常、度（degree）とラジアン（radian）が使用されます。	"a) 도 (degree)
b) 라디안 (radian)
c) 두 가지 모두
d) 둘 다 아님"	"a) 度 (degree)
b) ラジアン (radian)
c) 両方
d) どちらでもない"
35	삼각함수 sin, cos, tan의 정의는 무엇입니까?	三角関数のsin, cos, tanの定義は何ですか？ 三角形において、sin, cos, tanは角度の比率として定義されます。	"a) sin = 높이 / 빗변, cos = 밑변 / 빗변, tan = 높이 / 밑변
b) sin = 밑변 / 높이, cos = 빗변 / 높이, tan = 빗변 / 밑변
c) sin = 빗변 / 높이, cos = 높이 / 밑변, tan = 밑변 / 높이
d) sin = 높이 / 밑변, cos = 밑변 / 높이, tan = 높이 / 빗변"	"a) sin = 高さ / 斜辺, cos = 底辺 / 斜辺, tan = 高さ / 底辺
b) sin = 底辺 / 高さ, cos = 斜辺 / 高さ, tan = 斜辺 / 底辺
c) sin = 斜辺 / 高さ, cos = 高さ / 底辺, tan = 底辺 / 高さ
d) sin = 高さ / 底辺, cos = 底辺 / 高さ, tan = 高さ / 斜辺"
36	지수 함수가 적용되는 실생활 예는 무엇입니까?	指数関数が適用される実生活の例は何ですか？ 人口増加や金融計算などに指数関数が適用されます。	"a) 물리적 이동 계산
b) 열전달 계산
c) 신호 처리
d) 데이터 분석"	"a) 物理的移動計算
b) 熱伝達計算
c) 信号処理
d) データ分析"
37	로그 함수의 특징 중 하나는 무엇입니까?	対数関数の特徴の1つは何ですか？ 対数関数は大きな数を小さくすることができます。	"a) 수를 확대함
b) 수를 줄임
c) 수를 곱함
d) 수를 나눔"	"a) 数を拡大
b) 数を縮小
c) 数を掛ける
d) 数を割る"
38	삼각 함수의 주기는 무엇입니까?	三角関数の周期は何ですか？ 三角関数は一定の周期を持っています。	"a) 180도
b) 90도
c) 360도
d) 45도"	"a) 180度
b) 90度
c) 360度
d) 45度"
39	로그함수의 활용 예로 적합한 것은 무엇입니까?	対数関数の活用例として適切なのは何ですか？ 対数関数はデータ分析で主に使用されます。	"a) 온도 측정
b) 소리 측정
c) 데이터 분석
d) 교통량 분석"	"a) 温度測定
b) 音の測定
c) データ分析
d) 交通量分析"
40	삼각함수 sin의 값이 최대가 되는 각도는 무엇입니까?	三角関数sinの値が最大になる角度は何ですか？ sin関数は角度が90度のとき最大値を持ちます。	"a) 0도
b) 45도
c) 90도
d) 180도"	"a) 0度
b) 45度
c) 90度
d) 180度"
41	지수함수의 정의는 무엇입니까?	指数関数の定義は何ですか？ 指数関数は一般的に f(x) = a^x という形で表されます。	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"
42	로그 함수가 유용한 이유 중 하나는 무엇입니까?	対数関数が有用な理由の1つは何ですか？ 対数関数は複雑な計算を単純化できる特性を持っています。	"a) 곱셈을 덧셈으로 변환
b) 덧셈을 곱셈으로 변환
c) 곱셈을 나눗셈으로 변환
d) 나눗셈을 곱셈으로 변환"	"a) 掛け算を足し算に変換
b) 足し算を掛け算に変換
c) 掛け算を割り算に変換
d) 割り算を掛け算に変換"
43	자연로그의 밑은 무엇입니까?	自然対数の底は何ですか？ 自然対数はeを底とする対数です。	"a) 2
b) 10
c) e
d) π"	"a) 2
b) 10
c) e
d) π"
44	삼각함수에서 각도의 단위는 무엇입니까?	三角関数において角度の単位は何ですか？ 角度の単位には通常、度（degree）とラジアン（radian）が使用されます。	"a) 도 (degree)
b) 라디안 (radian)
c) 두 가지 모두
d) 둘 다 아님"	"a) 度 (degree)
b) ラジアン (radian)
c) 両方
d) どちらでもない"
45	삼각함수 sin, cos, tan의 정의는 무엇입니까?	三角関数のsin, cos, tanの定義は何ですか？ 三角形において、sin, cos, tanは角度の比率として定義されます。	"a) sin = 높이 / 빗변, cos = 밑변 / 빗변, tan = 높이 / 밑변
b) sin = 밑변 / 높이, cos = 빗변 / 높이, tan = 빗변 / 밑변
c) sin = 빗변 / 높이, cos = 높이 / 밑변, tan = 밑변 / 높이
d) sin = 높이 / 밑변, cos = 밑변 / 높이, tan = 높이 / 빗변"	"a) sin = 高さ / 斜辺, cos = 底辺 / 斜辺, tan = 高さ / 底辺
b) sin = 底辺 / 高さ, cos = 斜辺 / 高さ, tan = 斜辺 / 底辺
c) sin = 斜辺 / 高さ, cos = 高さ / 底辺, tan = 底辺 / 高さ
d) sin = 高さ / 底辺, cos = 底辺 / 高さ, tan = 高さ / 斜辺"
46	지수 함수가 적용되는 실생활 예는 무엇입니까?	指数関数が適用される実生活の例は何ですか？ 人口増加や金融計算などに指数関数が適用されます。	"a) 물리적 이동 계산
b) 열전달 계산
c) 신호 처리
d) 데이터 분석"	"a) 物理的移動計算
b) 熱伝達計算
c) 信号処理
d) データ分析"
47	로그 함수의 특징 중 하나는 무엇입니까?	対数関数の特徴の1つは何ですか？ 対数関数は大きな数を小さくすることができます。	"a) 수를 확대함
b) 수를 줄임
c) 수를 곱함
d) 수를 나눔"	"a) 数を拡大
b) 数を縮小
c) 数を掛ける
d) 数を割る"
48	삼각 함수의 주기는 무엇입니까?	三角関数の周期は何ですか？ 三角関数は一定の周期を持っています。	"a) 180도
b) 90도
c) 360도
d) 45도"	"a) 180度
b) 90度
c) 360度
d) 45度"
49	로그함수의 활용 예로 적합한 것은 무엇입니까?	対数関数の活用例として適切なのは何ですか？ 対数関数はデータ分析で主に使用されます。	"a) 온도 측정
b) 소리 측정
c) 데이터 분석
d) 교통량 분석"	"a) 温度測定
b) 音の測定
c) データ分析
d) 交通量分析"
50	삼각함수 sin의 값이 최대가 되는 각도는 무엇입니까?	三角関数sinの値が最大になる角度は何ですか？ sin関数は角度が90度のとき最大値を持ちます。	"a) 0도
b) 45도
c) 90도
d) 180도"	"a) 0度
b) 45度
c) 90度
d) 180度"
51	지수함수의 정의는 무엇입니까?	指数関数の定義は何ですか？ 指数関数は一般的に f(x) = a^x という形で表されます。	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"
52	로그 함수가 유용한 이유 중 하나는 무엇입니까?	対数関数が有用な理由の1つは何ですか？ 対数関数は複雑な計算を単純化できる特性を持っています。	"a) 곱셈을 덧셈으로 변환
b) 덧셈을 곱셈으로 변환
c) 곱셈을 나눗셈으로 변환
d) 나눗셈을 곱셈으로 변환"	"a) 掛け算を足し算に変換
b) 足し算を掛け算に変換
c) 掛け算を割り算に変換
d) 割り算を掛け算に変換"
53	자연로그의 밑은 무엇입니까?	自然対数の底は何ですか？ 自然対数はeを底とする対数です。	"a) 2
b) 10
c) e
d) π"	"a) 2
b) 10
c) e
d) π"
54	삼각함수에서 각도의 단위는 무엇입니까?	三角関数において角度の単位は何ですか？ 角度の単位には通常、度（degree）とラジアン（radian）が使用されます。	"a) 도 (degree)
b) 라디안 (radian)
c) 두 가지 모두
d) 둘 다 아님"	"a) 度 (degree)
b) ラジアン (radian)
c) 両方
d) どちらでもない"
55	삼각함수 sin, cos, tan의 정의는 무엇입니까?	三角関数のsin, cos, tanの定義は何ですか？ 三角形において、sin, cos, tanは角度の比率として定義されます。	"a) sin = 높이 / 빗변, cos = 밑변 / 빗변, tan = 높이 / 밑변
b) sin = 밑변 / 높이, cos = 빗변 / 높이, tan = 빗변 / 밑변
c) sin = 빗변 / 높이, cos = 높이 / 밑변, tan = 밑변 / 높이
d) sin = 높이 / 밑변, cos = 밑변 / 높이, tan = 높이 / 빗변"	"a) sin = 高さ / 斜辺, cos = 底辺 / 斜辺, tan = 高さ / 底辺
b) sin = 底辺 / 高さ, cos = 斜辺 / 高さ, tan = 斜辺 / 底辺
c) sin = 斜辺 / 高さ, cos = 高さ / 底辺, tan = 底辺 / 高さ
d) sin = 高さ / 底辺, cos = 底辺 / 高さ, tan = 高さ / 斜辺"
56	지수 함수가 적용되는 실생활 예는 무엇입니까?	指数関数が適用される実生活の例は何ですか？ 人口増加や金融計算などに指数関数が適用されます。	"a) 물리적 이동 계산
b) 열전달 계산
c) 신호 처리
d) 데이터 분석"	"a) 物理的移動計算
b) 熱伝達計算
c) 信号処理
d) データ分析"
57	로그 함수의 특징 중 하나는 무엇입니까?	対数関数の特徴の1つは何ですか？ 対数関数は大きな数を小さくすることができます。	"a) 수를 확대함
b) 수를 줄임
c) 수를 곱함
d) 수를 나눔"	"a) 数を拡大
b) 数を縮小
c) 数を掛ける
d) 数を割る"
58	삼각 함수의 주기는 무엇입니까?	三角関数の周期は何ですか？ 三角関数は一定の周期を持っています。	"a) 180도
b) 90도
c) 360도
d) 45도"	"a) 180度
b) 90度
c) 360度
d) 45度"
59	로그함수의 활용 예로 적합한 것은 무엇입니까?	対数関数の活用例として適切なのは何ですか？ 対数関数はデータ分析で主に使用されます。	"a) 온도 측정
b) 소리 측정
c) 데이터 분석
d) 교통량 분석"	"a) 温度測定
b) 音の測定
c) データ分析
d) 交通量分析"
60	삼각함수 sin의 값이 최대가 되는 각도는 무엇입니까?	三角関数sinの値が最大になる角度は何ですか？ sin関数は角度が90度のとき最大値を持ちます。	"a) 0도
b) 45도
c) 90도
d) 180도"	"a) 0度
b) 45度
c) 90度
d) 180度"
61	지수함수의 정의는 무엇입니까?	指数関数の定義は何ですか？ 指数関数は一般的に f(x) = a^x という形で表されます。	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"
62	로그 함수가 유용한 이유 중 하나는 무엇입니까?	対数関数が有用な理由の1つは何ですか？ 対数関数は複雑な計算を単純化できる特性を持っています。	"a) 곱셈을 덧셈으로 변환
b) 덧셈을 곱셈으로 변환
c) 곱셈을 나눗셈으로 변환
d) 나눗셈을 곱셈으로 변환"	"a) 掛け算を足し算に変換
b) 足し算を掛け算に変換
c) 掛け算を割り算に変換
d) 割り算を掛け算に変換"
63	자연로그의 밑은 무엇입니까?	自然対数の底は何ですか？ 自然対数はeを底とする対数です。	"a) 2
b) 10
c) e
d) π"	"a) 2
b) 10
c) e
d) π"
64	삼각함수에서 각도의 단위는 무엇입니까?	三角関数において角度の単位は何ですか？ 角度の単位には通常、度（degree）とラジアン（radian）が使用されます。	"a) 도 (degree)
b) 라디안 (radian)
c) 두 가지 모두
d) 둘 다 아님"	"a) 度 (degree)
b) ラジアン (radian)
c) 両方
d) どちらでもない"
65	삼각함수 sin, cos, tan의 정의는 무엇입니까?	三角関数のsin, cos, tanの定義は何ですか？ 三角形において、sin, cos, tanは角度の比率として定義されます。	"a) sin = 높이 / 빗변, cos = 밑변 / 빗변, tan = 높이 / 밑변
b) sin = 밑변 / 높이, cos = 빗변 / 높이, tan = 빗변 / 밑변
c) sin = 빗변 / 높이, cos = 높이 / 밑변, tan = 밑변 / 높이
d) sin = 높이 / 밑변, cos = 밑변 / 높이, tan = 높이 / 빗변"	"a) sin = 高さ / 斜辺, cos = 底辺 / 斜辺, tan = 高さ / 底辺
b) sin = 底辺 / 高さ, cos = 斜辺 / 高さ, tan = 斜辺 / 底辺
c) sin = 斜辺 / 高さ, cos = 高さ / 底辺, tan = 底辺 / 高さ
d) sin = 高さ / 底辺, cos = 底辺 / 高さ, tan = 高さ / 斜辺"
66	지수 함수가 적용되는 실생활 예는 무엇입니까?	指数関数が適用される実生活の例は何ですか？ 人口増加や金融計算などに指数関数が適用されます。	"a) 물리적 이동 계산
b) 열전달 계산
c) 신호 처리
d) 데이터 분석"	"a) 物理的移動計算
b) 熱伝達計算
c) 信号処理
d) データ分析"
67	로그 함수의 특징 중 하나는 무엇입니까?	対数関数の特徴の1つは何ですか？ 対数関数は大きな数を小さくすることができます。	"a) 수를 확대함
b) 수를 줄임
c) 수를 곱함
d) 수를 나눔"	"a) 数を拡大
b) 数を縮小
c) 数を掛ける
d) 数を割る"
68	삼각 함수의 주기는 무엇입니까?	三角関数の周期は何ですか？ 三角関数は一定の周期を持っています。	"a) 180도
b) 90도
c) 360도
d) 45도"	"a) 180度
b) 90度
c) 360度
d) 45度"
69	로그함수의 활용 예로 적합한 것은 무엇입니까?	対数関数の活用例として適切なのは何ですか？ 対数関数はデータ分析で主に使用されます。	"a) 온도 측정
b) 소리 측정
c) 데이터 분석
d) 교통량 분석"	"a) 温度測定
b) 音の測定
c) データ分析
d) 交通量分析"
70	삼각함수 sin의 값이 최대가 되는 각도는 무엇입니까?	三角関数sinの値が最大になる角度は何ですか？ sin関数は角度が90度のとき最大値を持ちます。	"a) 0도
b) 45도
c) 90도
d) 180도"	"a) 0度
b) 45度
c) 90度
d) 180度"
71	지수함수의 정의는 무엇입니까?	指数関数の定義は何ですか？ 指数関数は一般的に f(x) = a^x という形で表されます。	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"
72	로그 함수가 유용한 이유 중 하나는 무엇입니까?	対数関数が有用な理由の1つは何ですか？ 対数関数は複雑な計算を単純化できる特性を持っています。	"a) 곱셈을 덧셈으로 변환
b) 덧셈을 곱셈으로 변환
c) 곱셈을 나눗셈으로 변환
d) 나눗셈을 곱셈으로 변환"	"a) 掛け算を足し算に変換
b) 足し算を掛け算に変換
c) 掛け算を割り算に変換
d) 割り算を掛け算に変換"
73	자연로그의 밑은 무엇입니까?	自然対数の底は何ですか？ 自然対数はeを底とする対数です。	"a) 2
b) 10
c) e
d) π"	"a) 2
b) 10
c) e
d) π"
74	삼각함수에서 각도의 단위는 무엇입니까?	三角関数において角度の単位は何ですか？ 角度の単位には通常、度（degree）とラジアン（radian）が使用されます。	"a) 도 (degree)
b) 라디안 (radian)
c) 두 가지 모두
d) 둘 다 아님"	"a) 度 (degree)
b) ラジアン (radian)
c) 両方
d) どちらでもない"
75	삼각함수 sin, cos, tan의 정의는 무엇입니까?	三角関数のsin, cos, tanの定義は何ですか？ 三角形において、sin, cos, tanは角度の比率として定義されます。	"a) sin = 높이 / 빗변, cos = 밑변 / 빗변, tan = 높이 / 밑변
b) sin = 밑변 / 높이, cos = 빗변 / 높이, tan = 빗변 / 밑변
c) sin = 빗변 / 높이, cos = 높이 / 밑변, tan = 밑변 / 높이
d) sin = 높이 / 밑변, cos = 밑변 / 높이, tan = 높이 / 빗변"	"a) sin = 高さ / 斜辺, cos = 底辺 / 斜辺, tan = 高さ / 底辺
b) sin = 底辺 / 高さ, cos = 斜辺 / 高さ, tan = 斜辺 / 底辺
c) sin = 斜辺 / 高さ, cos = 高さ / 底辺, tan = 底辺 / 高さ
d) sin = 高さ / 底辺, cos = 底辺 / 高さ, tan = 高さ / 斜辺"
76	지수 함수가 적용되는 실생활 예는 무엇입니까?	指数関数が適用される実生活の例は何ですか？ 人口増加や金融計算などに指数関数が適用されます。	"a) 물리적 이동 계산
b) 열전달 계산
c) 신호 처리
d) 데이터 분석"	"a) 物理的移動計算
b) 熱伝達計算
c) 信号処理
d) データ分析"
77	로그 함수의 특징 중 하나는 무엇입니까?	対数関数の特徴の1つは何ですか？ 対数関数は大きな数を小さくすることができます。	"a) 수를 확대함
b) 수를 줄임
c) 수를 곱함
d) 수를 나눔"	"a) 数を拡大
b) 数を縮小
c) 数を掛ける
d) 数を割る"
78	삼각 함수의 주기는 무엇입니까?	三角関数の周期は何ですか？ 三角関数は一定の周期を持っています。	"a) 180도
b) 90도
c) 360도
d) 45도"	"a) 180度
b) 90度
c) 360度
d) 45度"
79	로그함수의 활용 예로 적합한 것은 무엇입니까?	対数関数の活用例として適切なのは何ですか？ 対数関数はデータ分析で主に使用されます。	"a) 온도 측정
b) 소리 측정
c) 데이터 분석
d) 교통량 분석"	"a) 温度測定
b) 音の測定
c) データ分析
d) 交通量分析"
80	삼각함수 sin의 값이 최대가 되는 각도는 무엇입니까?	三角関数sinの値が最大になる角度は何ですか？ sin関数は角度が90度のとき最大値を持ちます。	"a) 0도
b) 45도
c) 90도
d) 180도"	"a) 0度
b) 45度
c) 90度
d) 180度"
81	지수함수의 정의는 무엇입니까?	指数関数の定義は何ですか？ 指数関数は一般的に f(x) = a^x という形で表されます。	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"
